* 05149	VOP.	VOPADEVA'S Grammatik, nach BÖHTLINGK'S A
VOP. 26,112. 2
VOP. 3,12. 2
VOP. 6,49. 2
VOP. 6,48. 2
VOP. 6,74. 2
VOP. 26,16. 2
VOP. 26,16. 2
VOP. 4,24 2
VOP. 3,111. 2
VOP. 4,24. 2
VOP. 26,25. 2
VOP. 26,25, v. l. 2
VOP. 5,21. 2
VOP. 26,142. 2
VOP. 5,16. 2
VOP. 26,201. 2
VOP. 3,12. 2
VOP. 7,60. 2
VOP. 6,27. 2
VOP. 26,55. 2
VOP. 7,68. 2
VOP. 3,76. 2
VOP. 1,8. 2
VOP. 3,171. 2
VOP. 26,174. 2
VOP. 23,25. 2
VOP. 11,3. v. l. 2
VOP. 11,7. 2
VOP. 3,171. 2
VOP. 21,17. 2
VOP. 6,79. 2
VOP. 26,37. 2
VOP. 21,17. 2
VOP. 26,37, v. l. 2
VOP. 26,16. 2
VOP. 6,52. 2
VOP. 6,52. 2
VOP. 26,65. 2
VOP. 5,10. 2
VOP. 5,21. 2
VOP. 6,81. 2
VOP. 6,76. 2
VOP. 6,72. 2
VOP. 25,16. 2
VOP. 7,108. 2
VOP. 6,76. 2
VOP. 26,37. 2
VOP. 7,108. 2
VOP. 26,37. 2
VOP. 4,13. 2
VOP. 3,143. 2
VOP. 3,80. 2
VOP. 26,174. 2
VOP. 7,87. 2
VOP. 26,20. 2
VOP. 8,79 2
VOP. 26,6. 2
VOP. 19,7. 2
VOP. 16,5. 2
VOP. 21,5. 2
VOP. 4,26. 2
VOP. 6,45. 2
VOP. 21,15. 2
VOP. 21,5. 2
VOP. 21,18. 2
VOP. 5,34. 2
VOP. 6,35 2
VOP. 9,22. 2
VOP. 9,8 2
VOP. 8,34. 2
VOP. 25,12. 2
VOP. 9,24. 2
VOP. 11,5. 2
VOP. 21,17. 2
VOP. 23,15. 2
VOP. 6,25. 2
VOP. 3,39 2
VOP. 6,33. 2
VOP. 5,6. 2
VOP. 5,15. 2
VOP. 26,55. 2
VOP. 8,21. 2
VOP. 3,95. 2
VOP. 11,4. 2
VOP. 2,54. 2
VOP. 3,150. 2
VOP. 3,165. 2
VOP. 3,30. 2
VOP. 6,9 2
VOP. 3,42 2
VOP. 2,54. 2
VOP. 2,19. 2
VOP. 6,42. 2
VOP. 26,174. 2
VOP. 12,1. 2
VOP. 26,175. 2
VOP. 26,175. 2
VOP. 26,175 2
VOP. 26,175. 2
VOP. 4,12. 2
VOP. 4,12. 2
VOP. 7,19. 2
VOP. 6,68. 2
VOP. 26,15. 2
VOP. 26,170. 2
VOP. 26,12. 2
VOP. 26,16. 2
VOP. 4,24. 2
VOP. 9,46. 2
VOP. 26,20. 2
VOP. 6,55. 2
VOP. 26,62. 2
VOP. 26,63. 2
VOP. 7,72. 2
VOP. 25,32 2
VOP. 26,181 2
VOP. 7,111. 2
VOP. 26,18. 2
VOP. 5,30. 2
VOP. 4,16. 2
VOP. 26,12. 2
VOP. 26,12. 2
VOP. 26,11. 2
VOP. 5,3. 2
VOP. 7,91. 2
VOP. 7,7. 2
VOP. 7,7 2
VOP. 26,215. 2
VOP. 19,10. 2
VOP. 2,25. 2
VOP. 26,215 2
VOP. 23,31. 2
VOP. 26,73. 2
VOP. 7,19. 2
VOP. 26,219. 2
VOP. 5,6. 2
VOP. 26,170. 2
VOP. 25,22. 2
VOP. 3,145. 2
VOP. 26,71. 2
VOP. 7,85. 2
VOP. 5,29. 2
VOP. 26,191. 2
VOP. 5,22. 2
VOP. 23,11. 2
VOP. 4,7. 2
VOP. 26,13. 2
VOP. 8,63. 2
VOP. 26,6. 2
VOP. 26,159. 2
VOP. 26,59. 2
VOP. 26,33. 2
VOP. 5,30. 2
VOP. 26,138 2
VOP. 5,7. 2
VOP. 5,2. 2
VOP. 3,39 2
VOP. 26,194. 2
VOP. 26,7. 2
VOP. 7,22. 2
VOP. 7,22. 2
VOP. 26,53. 2
VOP. 26,186. 2
VOP. 26,36. 2
VOP. 26,36. 2
VOP. 7,19. 2
VOP. 7,18. 2
VOP. 21,15. 2
VOP. 21,15. 2
VOP. 9,15 2
VOP. 8,114 2
VOP. 5,5. 2
VOP. 9,15. 2
VOP. 5,4. 2
VOP. 5,5. 2
VOP. 19,1. 2
VOP. 19,7. 2
VOP. 7,79. 2
VOP. 26,191. 2
VOP. 5,15. 2
VOP. 26,160. 2
VOP. 26,186. 2
VOP. 3,9. 2
VOP. 3,88. 2
VOP. 5,21 2
VOP. 6,3. 2
VOP. 7,103. 2
VOP. 7,110. 2
VOP. 7,87 2
VOP. 6,61. 2
VOP. 7,110. 2
VOP. 5,7. 2
VOP. 26,186. 2
VOP. 26,157. 2
VOP. 7,110. 2
VOP. 7,110. 2
VOP. 14,4 2
VOP. 26,131. 2
VOP. 26,174. 2
VOP. 4,23. 2
VOP. 3,131. 2
VOP. 7,94. 2
VOP. 26,60. 2
VOP. 25,22. 2
VOP. 26,207 2
VOP. 25,21. 2
VOP. 7,110. 2
VOP. 2,19. 2
VOP. 5,15. 2
VOP. 21,14. 2
VOP. 5,15. 2
VOP. 5,15. 2
VOP. 9,39 2
VOP. 5,10. 2
VOP. 21,14. 2
VOP. 26,156. 2
VOP. 5,29. 2
VOP. 26,194. 2
VOP. 26,199. 2
VOP. 26,197. fgg. 2
VOP. 26,190. 2
VOP. 26,190. 2
VOP. 2,19 2
VOP. 2,22. 2
VOP. 25,20. 2
VOP. 4,8. 2
VOP. 26,219. 2
VOP. 13,1, v. l. 2
VOP. 7,77 2
VOP. 8,58. 2
VOP. 26,55. 2
VOP. 1,2. 2
VOP. 1,2. 2
VOP. 7,51. 2
VOP. 7,51. 2
VOP. 7,51. 2
VOP. 19,1. 2
VOP. 26,34. 2
VOP. 7,2. 2
VOP. 25,16. 2
VOP. 25,11. 2
VOP. 7,48. 2
VOP. 23,28. 2
VOP. 6,52. 2
VOP. 3,170. 2
VOP. 6,43. 2
VOP. 7,106. 2
VOP. 5,23. 2
VOP. 7,106. 2
VOP. 7,103. 2
VOP. 3,170. 2
VOP. 26,142. 2
VOP. 26,142. 2
VOP. 26,34. 2
VOP. 26,34. 2
VOP. 21,17. 2
VOP. 26,101. 2
VOP. 1,8. 2
VOP. 26,98. 2
VOP. 18,1. 2
VOP. 6,84. 2
VOP. 21,5. 2
VOP. 6,87. 2
VOP. 23,31. 2
VOP. 8,125. 2
VOP. 26,34. 2
VOP. 26,34. 2
VOP. 26,20. 2
VOP. 21,11. 2
VOP. 23,19. 2
VOP. 26,142. 2
VOP. 1,8. 2
VOP. 5,7. 2
VOP. 5,31. 2
VOP. 26,28. 2
VOP. 6,29. 2
VOP. 6,67. 2
VOP. 26,11. 2
VOP. 6,63. 2
VOP. 6,22. 2
VOP. 8,43. 2
VOP. 6,68. 2
VOP. 23,28, v. l. 2
VOP. 23,28. 2
VOP. 15,5. 2
VOP. 6,69. 2
VOP. 6,22. 2
VOP. 6,42. 2
VOP. 23,25. 2
VOP. 7,110. 2
VOP. 5,7. 2
VOP. 5,23. 2
VOP. 7,110. 2
VOP. 26,14. 2
VOP. 26,14. 2
VOP. 7,2. 2
VOP. 21,17. 2
VOP. 6,62. 2
VOP. 6,64. 2
VOP. 21,17. 2
VOP. 3,9. 2
VOP. 6,68. 2
VOP. 26,16. 2
VOP. 15,5. 2
VOP. 16,2. 2
VOP. 8,87. 2
VOP. 25,17. 2
VOP. 26,170. 2
VOP. 4,24. 2
VOP. 4,24. 2
VOP. 6,45. 2
VOP. 6,62. 2
VOP. 6,62. 2
VOP. 5,7. 2
VOP. 8,134. 2
VOP. 18,1. 2
VOP. 13,4. 2
VOP. 3,9. 2
VOP. 5,7 2
VOP. 7,103. 2
VOP. 7,78. 2
VOP. 26,61. 2
VOP. 26,61. 2
VOP. 26,70. 2
VOP. 15,5. 2
VOP. 6,52. 2
VOP. 7,56. 2
VOP. 7,56. 2
VOP. 26,68. 2
VOP. 7,14. 2
VOP. 26,101 2
VOP. 3,155 2
VOP. 3,156 2
VOP. 8,80. 2
VOP. 26,207 2
VOP. 21,11 2
VOP. 26,75. 2
VOP. 26,73. 2
VOP. 21,14. 2
VOP. 4,14. 2
VOP. 7,63. 2
VOP. 18,1 2
VOP. 6,8. 2
VOP. 4,30. 2
VOP. 3,165. 2
VOP. 19,8. 2
VOP. 23,31. 2
VOP. 5,5. 2
VOP. 23,9. 2
VOP. 23,15 2
VOP. 23,16. 2
VOP. 6,8. 2
VOP. 26,101. 2
VOP. 26,10 2
VOP. 2,9. 2
VOP. 2,8 2
VOP. 26,57. 2
VOP. 5,21. 2
VOP. 5,7. 2
VOP. 3,134. 2
VOP. 3,9 2
VOP. 6,36. 2
VOP. 7,96. 2
VOP. 3,34. 2
VOP. 7,36. 2
VOP. 3,88. 2
VOP. 7,100. 2
VOP. 7,45. 2
VOP. 4,15. 2
VOP. 4,15. 2
VOP. 7,95. 2
VOP. 5,34. 2
VOP. 2,3. 2
VOP. 26,35. 2
VOP. 4,27. 2
VOP. 5,26. 2
VOP. 2,55. 2
VOP. 7,110. 2
VOP. 7,94. 2
VOP. 2,3. 2
VOP. 26,174. 2
VOP. 2,6. 2
VOP. 3,143 2
VOP. 7,45. 2
VOP. 6,1. 2
VOP. 7,110. 2
VOP. 7,15. 2
VOP. 2,3. 2
VOP. 2,7. 2
VOP. 2,5. 2
VOP. 2,7. 2
VOP. 4,17. 2
VOP. 25,5. 2
VOP. 2,35. 2
VOP. 7,31. 2
VOP. 8,63. 2
VOP. 7,78. 2
VOP. 4,15. 2
VOP. 18,3. 2
VOP. 8,21. 2
VOP. 1,4. 2
VOP. 21,13. 2
VOP. 21,18. 2
VOP. 26,189. 2
VOP. 7,96. 2
VOP. 25,5. 2
VOP. 25,10. 2
VOP. 7,96. 2
VOP. 25,5. 2
VOP. 25,10. 2
VOP. 7,94. 2
VOP. 7,70. 2
VOP. 7,41. 2
VOP. 3,12 2
VOP. 7,41. 2
VOP. 7,69. 2
VOP. 6,92. 2
VOP. 7,110. 2
VOP. 25,9 2
VOP. 17,4. 2
VOP. 26,192. 2
VOP. 6,96. 2
VOP. 6,92. 2
VOP. 7,101. 2
VOP. 25,4. 2
VOP. 6,96. 2
VOP. 6,92. 2
VOP. 6,92. 2
VOP. 7,60. 2
VOP. 7,60. 2
VOP. 7,31. 2
VOP. 7,31. 2
VOP. 6,14. 2
VOP. 24,6. 2
VOP. 18,22 2
VOP. 26,158. 2
VOP. 2,9. 2
VOP. 7,31. 2
VOP. 26,158. 2
VOP. 24,10 2
VOP. 8,56. 2
VOP. 9,19. 2
VOP. 21,10. 2
VOP. 7,88. 2
VOP. 7,89. 2
VOP. 5,5. 2
VOP. 24,12. 2
VOP. 23,54. 2
VOP. 24,12. 2
VOP. 6,58. 2
VOP. 23,26. 2
VOP. 22,1. 2
VOP. 23,25 2
VOP. 23,25. 2
VOP. 15,4. 2
VOP. 15,4. 2
VOP. 15,4. 2
VOP. 15,4. 2
VOP. 22,1. 2
VOP. 23,25. 2
VOP. 23,25. 2
VOP. 23,25. 2
VOP. 23,25. 2
VOP. 23,27 2
VOP. 23,27. 2
VOP. 20,4. 2
VOP. 13,2 2
VOP. 24,12. 2
VOP. 19,7. 2
VOP. 23,6. 2
VOP. 23,6. 2
VOP. 23,6. 2
VOP. 13,3. 2
VOP. 13,3. 2
VOP. 16,2. 2
VOP. 26,47. 2
VOP. 26,54. 2
VOP. 26,54. 2
VOP. 7,55. 2
VOP. 26,57. 2
VOP. 4,29. 2
VOP. 7,78. 2
VOP. 5,9. 2
VOP. 21,2. 2
VOP. 26,47. 2
VOP. 24,8. 2
VOP. 5,2. 2
VOP. 26,205. 2
VOP. 5,8. 2
VOP. 7,89. 2
VOP. 7,101. 2
VOP. 25,4. 2
VOP. 21,17. 2
VOP. 7,14. 2
VOP. 8,80. 2
VOP. 25,1. 2
VOP. 8,122 2
VOP. 8,123 2
VOP. 4,24. 2
VOP. 7,63. 2
VOP. 7,49. 2
VOP. 7,63. 2
VOP. 6,15. 2
VOP. 6,13. 2
VOP. 6,96. 2
VOP. 4,26. 2
VOP. 6,96. 2
VOP. 26,111 2
VOP. 21,10. 2
VOP. 20,7. 2
VOP. 26,156. 2
VOP. 6,93. fgg. 2
VOP. 6,93. 2
VOP. 6,96. 2
VOP. 6,95. 2
VOP. 13,1. 2
VOP. 6,55. 2
VOP. 6,55. 2
VOP. 4,15. 2
VOP. 7,15. 2
VOP. 7,6. 2
VOP. 7,7. 2
VOP. 6,94. 2
VOP. 6,94. 2
VOP. 26,170. 2
VOP. 6,72. 2
VOP. 7,6. 2
VOP. 26,32. 2
VOP. 25,20. 2
VOP. 26,146. 2
VOP. 5,27. 2
VOP. 21,1. 2
VOP. 26,174. 2
VOP. 2,45. 2
VOP. 26,26. 2
VOP. 5,26. 2
VOP. 4,6. 2
VOP. 8,21. 2
VOP. 26,194. 2
VOP. 26,142. 2
VOP. 26,191. 2
VOP. 3,59. 2
VOP. 26,195 2
VOP. 7,85. 2
VOP. 8,112. 2
VOP. 1,2. 2
VOP. 5,36. 2
VOP. 8,75. 2
VOP. 7,7. 2
VOP. 6,14. 2
VOP. 6,89. 2
VOP. 7,28. 2
VOP. 21,4. 2
VOP. 7,51. 2
VOP. 25,22. 2
VOP. 25,12. 2
VOP. 7,110. 2
VOP. 7,94. 2
VOP. 26,32. 2
VOP. 26,184. 2
VOP. 26,167. 2
VOP. 5,5. 2
VOP. 26,91. 2
VOP. 18,18 2
VOP. 13,5. 2
VOP. 7,77. 2
VOP. 26,147. 2
VOP. 7,78 2
VOP. 4,26. 2
VOP. 26,11. 2
VOP. 7,110. 2
VOP. 7,14. 2
VOP. 7,65. 2
VOP. 26,206. 2
VOP. 8,41. 2
VOP. 5,15 2
VOP. 6,94. 2
VOP. 6,94. 2
VOP. 26,20. 2
VOP. 6,44. 2
VOP. 26,192. 2
VOP. 26,192, v. l. 2
VOP. 26,45. 2
VOP. 6,32. 2
VOP. 4,29. 2
VOP. 26,46. 2
VOP. 2,13. 2
VOP. 4,26. 2
VOP. 5,29. 2
VOP. 5,29. 2
VOP. 26,204. 2
VOP. 24,9. 2
VOP. 21,17. 2
VOP. 26,107. 2
VOP. 4,25. 2
VOP. 4,25. 2
VOP. 7,110. 2
VOP. 20,6. 2
VOP. 23,5. 2
VOP. 26,57. 2
VOP. 26,53. 2
VOP. 26,56. 2
VOP. 26,56. 2
VOP. 5,26. 2
VOP. 1,2. 2
VOP. 21,17. 2
VOP. 26,188. 2
VOP. 5,28. 2
VOP. 21,10. 2
VOP. 5,26. 2
VOP. 26,19. 2
VOP. 26,187. 2
VOP. 26,179. 2
VOP. 7,70 2
VOP. 26,101. 2
VOP. 7,59. 2
VOP. 26,20. 2
VOP. 21,7. 2
VOP. 7,82. 2
VOP. 7,67. 2
VOP. 6,84. 2
VOP. 7,67. 2
VOP. 21,7. 2
VOP. 5,6. 2
VOP. 4,17. 2
VOP. 6,33. 2
VOP. 6,33. 2
VOP. 6,33. 2
VOP. 25,1. 2
VOP. 6,33. 2
VOP. 6,96. 2
VOP. 7,13. 2
VOP. 6,40. 2
VOP. 8,87. 2
VOP. 4,15. 2
VOP. 7,7. 2
VOP. 18,22. 2
VOP. 26,30. 2
VOP. 26,207. 2
VOP. 18,8. 2
VOP. 5,5. 2
VOP. 8,68 2
VOP. 8,67 2
VOP. 8,69 2
VOP. 26,209. 2
VOP. 23,30. 2
VOP. 23,30. 2
VOP. 5,3. 2
VOP. 6,61. 2
VOP. 6,61. 2
VOP. 23,31 2
VOP. 23,33 2
VOP. 23,30 2
VOP. 23,30 2
VOP. 23,33 2
VOP. 23,33. 2
VOP. 23,32 2
VOP. 7,15. 2
VOP. 26,28. 2
VOP. 26,16. 2
VOP. 26,69. 2
VOP. 26,187. 2
VOP. 5,2. 2
VOP. 5,12. 2
VOP. 4,18. 2
VOP. 18,17. 2
VOP. 23,1. 2
VOP. 23,1. 2
VOP. 5,18. 2
VOP. 23,1. 2
VOP. 23,4. 2
VOP. 23,4. 2
VOP. 23,4. 2
VOP. 23,4. 2
VOP. 23,5. 2
VOP. 23,5. 2
VOP. 3,62. fgg. 2
VOP. 3,64 2
VOP. 3,62. fgg. 2
VOP. 21,7. 2
VOP. 21,7. 2
VOP. 26,30 2
VOP. 4,7. 2
VOP. 9,37. 2
VOP. 7,15. 2
VOP. 4,24. 2
VOP. 4,24. 2
VOP. 26,47. 2
VOP. 26,16 2
VOP. 6,13. 2
VOP. 23,3. 2
VOP. 26,99. 2
VOP. 8,63 2
VOP. 26,216, v. l. 2
VOP. 22,1. 2
VOP. 22,1. 2
VOP. 21,17. 2
VOP. 22,1. 2
VOP. 26,192. 2
VOP. 4,6. 2
VOP. 26,145. 2
VOP. 7,56. 2
VOP. 26,101 2
VOP. 9,53. 2
VOP. 7,56. 2
VOP. 26,111. 2
VOP. 25,8. 2
VOP. 26,58. 2
VOP. 26,58. 2
VOP. 26,144. 2
VOP. 23,50. 2
VOP. 18,8. 2
VOP. 26,104. 2
VOP. 3,134. 2
VOP. 8,50 2
VOP. 8,49. 2
VOP. 20,17. 2
VOP. 26,38. 2
VOP. 2,47. 2
VOP. 26,169. 2
VOP. 4,16. 2
VOP. 3,65. 2
VOP. 7,35. 2
VOP. 26,201. 2
VOP. 5,5 2
VOP. 9,46. 2
VOP. 26,55. 2
VOP. 26,5. 2
VOP. 9,38 2
VOP. 3,34. 2
VOP. 26,46. 2
VOP. 4,8. 2
VOP. 4,8. 2
VOP. 4,8. 2
VOP. 1,9. 2
VOP. 7,70. 2
VOP. 7,42. 2
VOP. 17,4. 2
VOP. 7,69. 2
VOP. 23,29. 2
VOP. 26,165. 2
VOP. 26,157. 2
VOP. 8,49 2
VOP. 15,102. 2
VOP. 26,166. 2
VOP. 26,15. 2
VOP. 6,87. 2
VOP. 8,70. 2
VOP. 18,22. 2
VOP. 24,13. 2
VOP. 20,17. 2
VOP. 23,3. 2
VOP. 6,22. 2
VOP. 23,14 2
VOP. 23,14. 2
VOP. 26,25. 2
VOP. 26,25. 2
VOP. 5,15. 2
VOP. 5,15. 2
VOP. 23,44 2
VOP. 24,12. 2
VOP. 20,5. 2
VOP. 19,7. 2
VOP. 23,43. 2
VOP. 9,29. 2
VOP. 24,6. 2
VOP. 7,14. 2
VOP. 25,11 2
VOP. 25,14. 2
VOP. 20,5. 2
VOP. 26,27. 2
VOP. 21,7. 2
VOP. 21,7. 2
VOP. 2,15. 2
VOP. 2,18. 2
VOP. 3,165. 2
VOP. 2,15. 2
VOP. 2,15. 2
VOP. 2,15. 2
VOP. 21,2. 2
VOP. 5,29. 2
VOP. 19,1. 2
VOP. 8,85. 2
VOP. 26,212. 2
VOP. 20,4. 2
VOP. 21,17. 2
VOP. 7,19. 2
VOP. 26,39. 2
VOP. 26,146. 2
VOP. 26,52. 2
VOP. 26,39. 2
VOP. 26,39. 2
VOP. 4,11. 2
VOP. 21,2. 2
VOP. 4,11. 2
VOP. 21,15. 2
VOP. 26,32. 2
VOP. 6,68. 2
VOP. 26,33. 2
VOP. 2,53. 2
VOP. 26,184. 2
VOP. 2,53. 2
VOP. 26,167. 2
VOP. 2,53. 2
VOP. 7,25. 2
VOP. 26,96. 2
VOP. 6,14. 2
VOP. 4,17. 2
VOP. 26,204. 2
VOP. 5,21. 2
VOP. 13,4. 2
VOP. 26,206. 2
VOP. 7,56. 2
VOP. 8,129. fgg. 2
VOP. 26,107. 2
VOP. 19,5. 2
VOP. 26,192. 2
VOP. 26,19. 2
VOP. 26,145. 2
VOP. 26,164. 2
VOP. 26,148. 2
VOP. 26,20. 2
VOP. 26,20. 2
VOP. 26,20. 2
VOP. 5,5. 2
VOP. 2,18. 2
VOP. 2,18. 2
VOP. 7,76. 2
VOP. 7,76. 2
VOP. 4,26. 2
VOP. 7,14. 2
VOP. 7,35. 2
VOP. 26,33. 2
VOP. 26,191. 2
VOP. 4,22. 2
VOP. 8,64. 2
VOP. 4,22. 2
VOP. 5,7. 2
VOP. 7,33. 2
VOP. 7,32. 2
VOP. 7,76. 2
VOP. 7,76. 2
VOP. 3,151. 2
VOP. 26,35. 2
VOP. 7,76. 2
VOP. 7,76. 2
VOP. 26,19. 2
VOP. 24,13. 2
VOP. 3,10. 2
VOP. 7,8. 2
VOP. 7,8. 2
VOP. 7,8. 2
VOP. 7,19. 2
VOP. 8,52. 2
VOP. 26,206. 2
VOP. 24,12. 2
VOP. 26,194. 2
VOP. 16,4 2
VOP. 16,3 2
VOP. 26,204 2
VOP. 5,6 2
VOP. 5,6. 2
VOP. 1,5. 2
VOP. 18,7. 2
VOP. 5,5. 2
VOP. 26,164. 2
VOP. 26,148. 2
VOP. 26,20. 2
VOP. 6,40. 2
VOP. 7,15. 2
VOP. 7,15. 2
VOP. 26,29. 2
VOP. 6,15. 2
VOP. 8,82. 2
VOP. 8,84. 2
VOP. 18,23. 2
VOP. 18,23. 2
VOP. 26,184. 2
VOP. 26,144. 2
VOP. 3,70. 2
VOP. 18,22. 2
VOP. 26,192. 2
VOP. 4,26. 2
VOP. 26,55. 2
VOP. 25,45. 2
